
13.817	12.802
14.801	13.436
15.073	13.750
14.398	13.311
13.322	12.539
14.818	13.489
14.417	12.690
13.880	12.616
14.041	13.101
13.534	12.602
13.356	12.718
14.245	13.168
13.375	12.240
14.237	13.228
13.691	12.916
14.326	12.665
14.069	12.828
13.028	12.475
14.943	13.840
14.114	12.981
13.523	12.606
14.104	13.034
13.769	12.412
13.245	12.678
14.492	13.159
14.336	13.568
12.843	12.080
13.679	12.861
13.261	11.777
13.469	12.566
13.932	12.787
14.483	13.309
14.038	12.817
13.254	12.711
13.400	12.726
14.165	13.129
13.895	12.739
14.301	13.078
14.320	13.285
13.703	13.007
12.815	12.208
13.741	12.624
14.800	13.502
13.046	12.491
13.396	12.710
13.920	12.670
12.468	11.293
13.419	12.677
13.522	12.927
13.712	12.670

